a,b,c,d,e
MOLD-TEK TECHNOLOGIES LTD.,MOLDTEK,MOLDTECH,Engineering,https://halalstock.in/is-mold-tek-technologies-ltd-halal-and-shariah-compliant/
Monarch Surveyors and Engineering Consultants Ltd,MSECL,,Consulting Services,https://halalstock.in/is-monarch-surveyors-and-engineering-consultants-ltd-halal-and-shariah-compliant/
Monolithisch India Ltd,,MONOLITH,Electrodes &amp; Refractories,https://halalstock.in/is-monolithisch-india-ltd-halal-and-shariah-compliant/
MOREPEN LABORATORIES LTD.,MOREPENLAB,MOREPENLAB,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-morepen-laboratories-ltd-halal-and-shariah-compliant/
MORGANITE CRUCIBLE (INDIA) LTD.,MORGANITE,,Refractories / Intermediates,https://halalstock.in/is-morganite-crucible-india-ltd-halal-and-shariah-compliant/
MOS Utility Ltd,,MOS,Financial Technology (Fintech),https://halalstock.in/is-mos-utility-ltd-halal-and-shariah-compliant/
MOSCHIP TECHNOLOGIES LTD,MOSCHIP,MOSCHIP,Computers - Software - Medium / Small,https://halalstock.in/is-moschip-technologies-ltd-halal-and-shariah-compliant/
Motherson Sumi Wiring India Ltd,MSUMI,MSUMI,Auto Components &amp; Equipments,https://halalstock.in/is-motherson-sumi-systems-ltd-halal-and-shariah-compliant/
Motisons Jewellers Ltd,MOTISONS,MOTISONS,"Gems, Jewellery And Watches",https://halalstock.in/is-motisons-jewellers-ltd-halal-and-shariah-compliant/
MOTOR &amp; GENERAL FINANCE LTD.,MOTOGENFIN,MOTOGENFIN,Finance &amp; Investments,https://halalstock.in/is-motor-general-finance-ltd-halal-and-shariah-compliant/
Moving Media Entertainment Ltd,,MMEL,Diversified Commercial Services,https://halalstock.in/is-moving-media-entertainment-ltd-halal-and-shariah-compliant/
Moxsh Overseas Educon Ltd,,MOXSH,Education,https://halalstock.in/is-moxsh-overseas-educon-ltd-halal-and-shariah-compliant/
MPHASIS LTD.,MPHASIS,MPHASIS,Computers - Software - Medium / Small,https://halalstock.in/is-mphasis-ltd-halal-and-shariah-compliant/
MPS LTD.,MPSLTD,MPSLTD,Printing &amp; Stationery,https://halalstock.in/is-mps-ltd-halal-and-shariah-compliant/
MRC Agrotech Ltd,MRCAGRO,,Trading Companies &amp; Distributors.,More
MRF LTD.,MRF,MRF,Tyres,https://halalstock.in/is-mrf-ltd-halal-and-shariah-compliant/
MRP AGRO LTD,MRP,,Trading,https://halalstock.in/is-mrp-agro-ltd-halal-and-shariah-compliant/
MRS. BECTORS FOOD SPECIALITIES LTD,BECTORFOOD,BECTORFOOD,Food - Processing - Indian,https://halalstock.in/is-mrs-bectors-food-specialities-ltd-halal-and-shariah-compliant/
MSP STEEL &amp; POWER LTD.,MSPL,MSPL,Steel - Sponge Iron,https://halalstock.in/is-msp-steel-power-ltd-halal-and-shariah-compliant/
MSR INDIA LTD.,MSRINDIA,,Engineering - Turnkey Services,https://halalstock.in/is-msr-india-ltd-halal-and-shariah-compliant/
MTAR TECHNOLOGIES LTD,MTARTECH,MTARTECH,Engineering,https://halalstock.in/is-mtar-technologies-ltd-halal-and-shariah-compliant/
MUKAT PIPES LTD.,MUKATPIP,,Steel - Medium / Small,https://halalstock.in/is-mukat-pipes-ltd-halal-and-shariah-compliant/
MULLER &amp; PHIPPS (INDIA) LTD.,MULLER,,Trading,https://halalstock.in/is-muller-phipps-india-ltd-halal-and-shariah-compliant/
MUNJAL SHOWA LTD.,MUNJALSHOW,MUNJALSHOW,Auto Ancillaries,https://halalstock.in/is-munjal-showa-ltd-halal-and-shariah-compliant/
Murae Organisor Ltd,MURAE,,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-murae-organisor-ltd-halal-and-shariah-compliant/
MYSORE PETRO CHEMICALS LTD.,MYSORPETRO,,Chemicals,https://halalstock.in/is-mysore-petro-chemicals-ltd-halal-and-shariah-compliant/
MYSTIC ELECTRONICS LTD,MYSTICELE,,Trading,https://halalstock.in/is-mystic-electronics-ltd-halal-and-shariah-compliant/
N2N TECHNOLOGIES LIMITED,NNTL,,Computers - Software - Medium / Small,https://halalstock.in/is-n2n-technologies-limited-halal-and-shariah-compliant/
Naapbooks Ltd,NBL,,Computers - Software &amp; Consulting,https://halalstock.in/is-naapbooks-ltd-halal-and-shariah-compliant/
Nacdac Infrastructure Ltd,NACDAC,,Civil Construction,https://halalstock.in/is-nacdac-infrastructure-ltd-halal-and-shariah-compliant/
NACL INDUSTRIES LTD,NACLIND,NACLIND,Pesticides / Agrochemicals - Indian,https://halalstock.in/is-nacl-industries-ltd-halal-and-shariah-compliant/
NAGPUR POWER &amp; INDUSTRIES LTD.,NAGPI,,Mining / Minerals / Metals,https://halalstock.in/is-nagpur-power-industries-ltd-halal-and-shariah-compliant/
NAHAR POLYFILMS LTD.,NAHARPOLY,NAHARPOLY,Packaging,https://halalstock.in/is-nahar-polyfilms-ltd-halal-and-shariah-compliant/
NAKODA GROUP OF INDUSTRIES LTD,NGIL,NGIL,Food - Processing - Indian,https://halalstock.in/is-nakoda-group-of-industries-ltd-halal-and-shariah-compliant/
Naman In-Store (India) Ltd,,NAMAN,Furniture Home Furnishing,https://halalstock.in/is-naman-in-store-india-ltd-halal-and-shariah-compliant/
Namo eWaste Management Limited,,NAMOEWASTE,Waste Management,https://halalstock.in/is-namo-ewaste-management-limited-halal-and-shariah-compliant/
NANDANI CREATION,,JAIPURKURT,Textiles - Products,https://halalstock.in/is-nandani-creation-halal-and-shariah-compliant/
NAPS Global India Ltd,NAPSGLOBAL,,Other Textile Products,https://halalstock.in/is-naps-global-india-ltd-halal-and-shariah-compliant/
NARAYANA HRUDAYALAYA LTD,NH,NH,Healthcare,https://halalstock.in/is-narayana-hrudayalaya-ltd-halal-and-shariah-compliant/
NARAYANI STEELS LTD,NARAYANI,,Steel - Medium / Small,https://halalstock.in/is-narayani-steels-ltd-halal-and-shariah-compliant/
NARBADA GEMS AND JEWELLERY LTD.,NARBADA,,Diamond Cutting / Jewellery,https://halalstock.in/is-narbada-gems-and-jewellery-ltd-halal-and-shariah-compliant/
NARENDRA PROPERTIES LTD.,NARPROP,,Construction,https://halalstock.in/is-narendra-properties-ltd-halal-and-shariah-compliant/
NARMADA AGROBASE,,NARMADA,Food - Processing - Indian,https://halalstock.in/is-narmada-agrobase-halal-and-shariah-compliant/
NARMADA GELATINES LTD.,SHAWGELTIN,,Chemicals,https://halalstock.in/is-narmada-gelatines-ltd-halal-and-shariah-compliant/
NATCO PHARMA LTD.,NATCOPHARM,NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-natco-pharma-ltd-halal-and-shariah-compliant/
NATH BIO-GENES (INDIA) LTD,NATHBIOGEN,NATHBIOGEN,Miscellaneous,https://halalstock.in/is-nath-bio-genes-india-ltd-halal-and-shariah-compliant/
NATIONAL ALUMINIUM CO.LTD.,NATIONALUM,NATIONALUM,Aluminium and Aluminium Products,https://halalstock.in/is-national-aluminium-co-ltd-halal-and-shariah-compliant/
NATIONAL FITTINGS LIMITED,NATFIT,,Castings &amp; Forgings,https://halalstock.in/is-national-fittings-limited-halal-and-shariah-compliant/
NATIONAL PEROXIDE LTD.,NATPEROX,,Chemicals,https://halalstock.in/is-national-peroxide-ltd-halal-and-shariah-compliant/
NATURA HUE CHEM LTD.,NATHUEC,,Food - Processing - Indian,https://halalstock.in/is-natura-hue-chem-ltd-halal-and-shariah-compliant/
NATURAL BIOCON (INDIA) LTD,NATURAL,,Solvent Extraction,https://halalstock.in/is-natural-biocon-india-ltd-halal-and-shariah-compliant/
Naturewings Holidays Ltd,NHL,,"Tour, Travel Related Services",https://halalstock.in/is-naturewings-holidays-ltd-halal-and-shariah-compliant/
Naturo Indiabull Ltd,NATURO,,Personal Care,https://halalstock.in/is-naturo-indiabull-ltd-halal-and-shariah-compliant/
NAVA LIMITED,NAVA,NAVA,Electric Utilities,https://halalstock.in/is-nava-limited-halal-and-shariah-compliant/
NAVIN FLUORINE INTERNATIONAL LIMITED,NAVINFLUOR,NAVINFLUOR,Chemicals,https://halalstock.in/is-navin-fluorine-international-limited-halal-and-shariah-compliant/
NAVKAR CORPORATION LTD,NAVKARCORP,NAVKARCORP,Miscellaneous,https://halalstock.in/is-navkar-corporation-ltd-halal-and-shariah-compliant/
Navkar Urbanstructure Ltd,NAVKAR,,"Residential, Commercial Projects",https://halalstock.in/is-navkar-urbanstructure-ltd-halal-and-shariah-compliant/
NAVNEET EDUCATION LIMITED,NAVNETEDUL*,NAVNETEDUL,Printing &amp; Stationery,https://halalstock.in/is-navneet-education-limited-halal-and-shariah-compliant/
NBCC (INDIA) LTD,NBCC,NBCC,Construction,https://halalstock.in/is-nbcc-india-ltd-halal-and-shariah-compliant/
NCC LIMITED,NCC,NCC,Construction,https://halalstock.in/is-ncc-limited-halal-and-shariah-compliant/
NCL INDUSTRIES LTD.,NCLIND,NCLIND,Cement - South India,https://halalstock.in/is-ncl-industries-ltd-halal-and-shariah-compliant/
NDR AUTO COMPONENTS LTD,NDRAUTO,NDRAUTO,Auto Ancillaries,https://halalstock.in/is-ndr-auto-components-ltd-halal-and-shariah-compliant/
NEELAMALAI AGRO INDUSTRIES LTD.,NEAGI,,Tea,https://halalstock.in/is-neelamalai-agro-industries-ltd-halal-and-shariah-compliant/
Neetu Yoshi Ltd,NEETUYOSHI,,Castings &amp; Forgings,https://halalstock.in/is-neetu-yoshi-ltd-halal-and-shariah-compliant/
NELCAST LTD.,NELCAST,NELCAST,Castings &amp; Forgings,https://halalstock.in/is-nelcast-ltd-halal-and-shariah-compliant/
NELCO LTD.,NELCO,NELCO,Telecommunications - Equipment,https://halalstock.in/is-nelco-ltd-halal-and-shariah-compliant/
NEOGEN CHEMICALS LTD,NEOGEN,NEOGEN,Chemicals,https://halalstock.in/is-neogen-chemicals-ltd-halal-and-shariah-compliant/
Neopolitan Pizza Limited,NPFL,NEO,Other Agricultural Products,https://halalstock.in/is-neopolitan-pizza-limited-halal-and-shariah-compliant/
NEPHRO CARE INDIA LIMITED,,NEPHROCARE,Hospital,https://halalstock.in/is-nephro-care-india-limited-halal-and-shariah-compliant/
Neptune Petrochemicals Limited,,NEPTUNE,Petrochemicals,https://halalstock.in/is-neptune-petrochemicals-limited-halal-and-shariah-compliant/
NESTLE INDIA LTD.,NESTLEIND,NESTLEIND,Food - Processing - MNC,https://halalstock.in/is-nestle-india-ltd-halal-and-shariah-compliant/
Net Avenue Technologies,,CBAZAAR,E-Retail/ E-Commerce,https://halalstock.in/is-net-avenue-technologies-halal-and-shariah-compliant/
NETLINK SOLUTIONS (INDIA) LTD.,NETLINK,,Computers - Software - Medium / Small,https://halalstock.in/is-netlink-solutions-india-ltd-halal-and-shariah-compliant/
NETTLINX LTD.,NETTLINX,,Software Products,https://halalstock.in/is-nettlinx-ltd-halal-and-shariah-compliant/
Netweb Technologies India Ltd,NETWEB,NETWEB,Computers Hardware &amp; Equipments,https://halalstock.in/is-netweb-technologies-india-ltd-halal-and-shariah-compliant/
NEULAND LABORATORIES LTD.,NEULANDLAB,NEULANDLAB,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-neuland-laboratories-ltd-halal-and-shariah-compliant/
NEW LIGHT APPARELS LTD,NEWLIGHT,,Trading,https://halalstock.in/is-new-light-apparels-ltd-halal-and-shariah-compliant/
New Swan Multitech Ltd,SWANAGRO,,Auto Components &amp; Equipments,https://halalstock.in/is-new-swan-multitech-ltd-halal-and-shariah-compliant/
NEWGEN SOFTWARE TECHNOLOGIES LTD,NEWGEN,NEWGEN,Computers - Software - Medium / Small,https://halalstock.in/is-newgen-software-technologies-ltd-halal-and-shariah-compliant/
Newjaisa Technologies Ltd,,NEWJAISA,Computers Hardware &amp; Equipments,https://halalstock.in/is-newjaisa-technologies-ltd-halal-and-shariah-compliant/
NEXUS SELECT TRUST,,NXST,Real Estate Investment Trusts (REITs),https://halalstock.in/is-nexus-select-trust-halal-and-shariah-compliant/
Nexus Surgical And Medicare Ltd,NEXUSSURGL,,Other Financial Services,https://halalstock.in/is-nexus-surgical-and-medicare-ltd-halal-and-shariah-compliant/
Nexxus Petro Industries Ltd,NEXXUS,,Petrochemicals,https://halalstock.in/is-nexxus-petro-industries-ltd-halal-and-shariah-compliant/
NG INDUSTRIES LTD.,NGIND,,Healthcare,https://halalstock.in/is-ng-industries-ltd-halal-and-shariah-compliant/
NGL FINE-CHEM LTD.,NGLFINE,NGLFINE,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-ngl-fine-chem-ltd-halal-and-shariah-compliant/
NIBE LTD,NIBE,,Textiles - Manmade,https://halalstock.in/is-nibe-ltd-halal-and-shariah-compliant/
NICCO PARKS &amp; RESORTS LTD.,NICCOPAR,,Recreation / Amusement Parks,https://halalstock.in/is-nicco-parks-resorts-ltd-halal-and-shariah-compliant/
NIDHI GRANITES LTD.,NIDHGRN,,Finance &amp; Investments,https://halalstock.in/is-nidhi-granites-ltd-halal-and-shariah-compliant/
NIHAR INFO GLOBAL LTD.,NIHARINF,,IT Software Products,https://halalstock.in/is-nihar-info-global-ltd-halal-and-shariah-compliant/
NIIT Learning Systems Ltd,NIITMTS,NIITMTS,Education,https://halalstock.in/is-niit-learning-systems-ltd-halal-and-shariah-compliant/
NIIT LTD.,NIITLTD,NIITLTD,Computers - Education,https://halalstock.in/is-niit-ltd-halal-and-shariah-compliant/
NIKHIL ADHESIVES LTD.,NIKHILAD,,Chemicals,https://halalstock.in/is-nikhil-adhesives-ltd-halal-and-shariah-compliant/
Nilachal Carbo Metalicks ltd,NCML,,Ferro &amp; Silica Manganese,https://halalstock.in/is-nilachal-carbo-metalicks-ltd-halal-and-shariah-compliant/
NILE LTD.,NILE,,Mining / Minerals / Metals,https://halalstock.in/is-nile-ltd-halal-and-shariah-compliant/
NILKAMAL LTD.,NILKAMAL,NILKAMAL,Plastics Products,https://halalstock.in/is-nilkamal-ltd-halal-and-shariah-compliant/
NINTEC SYSTEMS LTD,NINSYS,NINSYS,Computers - Software - Medium / Small,https://halalstock.in/is-nintec-systems-ltd-halal-and-shariah-compliant/
NIRAJ CEMENT STRUCTURALS LTD.,NIRAJ,NIRAJ,Construction,https://halalstock.in/is-niraj-cement-structurals-ltd-halal-and-shariah-compliant/
NIRAV COMMERCIALS LTD.,NIRAVCOM,,Trading,https://halalstock.in/is-nirav-commercials-ltd-halal-and-shariah-compliant/
NIRLON LTD.,NIRLON,,Construction,https://halalstock.in/is-nirlon-ltd-halal-and-shariah-compliant/
Nirman Agri Genetics Ltd,,NIRMAN,Other Agricultural Products,https://halalstock.in/is-nirman-agri-genetics-ltd-halal-and-shariah-compliant/
NITCO LTD.,NITCO,NITCO,Ceramics - Tiles / Sanitaryware,https://halalstock.in/is-nitco-ltd-halal-and-shariah-compliant/
NITIN CASTINGS LTD,NITINCAST,,Castings &amp; Forgings,https://halalstock.in/is-nitin-castings-ltd-halal-and-shariah-compliant/
NITIN FIRE PROTECTION INDUSTRIES LTD.,NITINFIRE,,Engineering,https://halalstock.in/is-nitin-fire-protection-industries-ltd-halal-and-shariah-compliant/
NITIRAJ ENGINEER,,NITIRAJ,Electronics - Components,https://halalstock.in/is-nitiraj-engineer-halal-and-shariah-compliant/
NITTA GELATIN INDIA LTD.,NITTAGELA,,Chemicals,https://halalstock.in/is-nitta-gelatin-india-ltd-halal-and-shariah-compliant/
NK INDUSTRIES LTD.,NKIND,NKIND,Solvent Extraction,https://halalstock.in/is-nk-industries-ltd-halal-and-shariah-compliant/
NMDC LTD.,NMDC,NMDC,Mining / Minerals / Metals,https://halalstock.in/is-nmdc-ltd-halal-and-shariah-compliant/
NOCIL LTD.,NOCIL,NOCIL,Chemicals,https://halalstock.in/is-nocil-ltd-halal-and-shariah-compliant/
NORBEN TEA &amp; EXPORTS LTD.,NORBTEAEXP,NORBTEAEXP,Tea,https://halalstock.in/is-norben-tea-exports-ltd-halal-and-shariah-compliant/
Nova Agritech,NOVAAGRI,NOVAAGRI,Fertilizers,https://halalstock.in/is-nova-agritech-halal-and-shariah-compliant/
NRB BEARINGS LTD.,NRBBEARING,NRBBEARING,Bearings,https://halalstock.in/is-nrb-bearings-ltd-halal-and-shariah-compliant/
nterarch Building Products Limited,INTERARCH,INTERARCH,Civil Construction,https://halalstock.in/is-nterarch-building-products-limited-halal-and-shariah-compliant/
NUCLEUS SOFTWARE EXPORTS LTD.,NUCLEUS,NUCLEUS,Computers - Software - Medium / Small,https://halalstock.in/is-nucleus-software-exports-ltd-halal-and-shariah-compliant/
Nukleus Office Solutions Ltd,NUKLEUS,,Diversified Commercial Services,https://halalstock.in/is-nukleus-office-solutions-ltd-halal-and-shariah-compliant/
Nupur Recyclers Limited,,NRL,Services,https://halalstock.in/is-nupur-recyclers-limited-halal-and-shariah-compliant/
NUTRICIRCLE LTD,NUTRICIRCLE,,Textiles - Products,https://halalstock.in/is-nutricircle-ltd-halal-and-shariah-compliant/
NUVOCO VISTAS CORPORATION LTD,NUVOCO,NUVOCO,Cement - North India,https://halalstock.in/is-nuvoco-vistas-corporation-ltd-halal-and-shariah-compliant/
OBEROI REALTY LTD.,OBEROIRLTY,OBEROIRLTY,Construction,https://halalstock.in/is-oberoi-realty-ltd-halal-and-shariah-compliant/
OBJECTONE INFORMATION SYSTEMS LTD.,OONE,,Computers - Software - Medium / Small,https://halalstock.in/is-objectone-information-systems-ltd-halal-and-shariah-compliant/
OBSC Perfection Limited,,OBSCP,Auto Components &amp; Equipments,https://halalstock.in/is-obsc-perfection-limited-halal-and-shariah-compliant/
OCEANAA BIOTEK INDUSTRIES LTD,OBIL,,Miscellaneous,https://halalstock.in/is-oceanaa-biotek-industries-ltd-halal-and-shariah-compliant/
OCTAWARE TECHNOLOGIES LTD,OCTAWARE,,Computers - Software - Medium / Small,https://halalstock.in/is-octaware-technologies-ltd-halal-and-shariah-compliant/
ODYSSEY CORPORATION LTD.,ODYCORP,,Finance &amp; Investments,https://halalstock.in/is-odyssey-corporation-ltd-halal-and-shariah-compliant/
OIL COUNTRY TUBULAR LTD.,OILCOUNTUB,OILCOUNTUB,Steel - Medium / Small,https://halalstock.in/is-oil-country-tubular-ltd-halal-and-shariah-compliant/
OLECTRA GREENTECH LTD,OLECTRA,OLECTRA,Telecommunications - Equipment,https://halalstock.in/is-olectra-greentech-ltd-halal-and-shariah-compliant/
Om Freight Forwarders Ltd.,OMFREIGHT,,Logistics Solution Provider,https://halalstock.in/is-om-freight-forwarders-ltd-halal-and-shariah-compliant/
OM INFRA LTD,OMINFRAL,OMINFRAL,Engineering,https://halalstock.in/is-om-infra-ltd-halal-and-shariah-compliant/
OMANSH ENTERPRISES LTD,OMANSH,,Trading,https://halalstock.in/is-omansh-enterprises-ltd-halal-and-shariah-compliant/
Omfurn India Ltd,,OMFURN,Furniture Home Furnishing,https://halalstock.in/is-omfurn-india-ltd-halal-and-shariah-compliant/
OMNITEX INDUSTRIES (INDIA) LTD.,OMNITEX,,Textiles - Processing,https://halalstock.in/is-omnitex-industries-india-ltd-halal-and-shariah-compliant/
On Door Concepts Ltd,,ONDOOR,Diversified Retail,https://halalstock.in/is-on-door-concepts-ltd-halal-and-shariah-compliant/
ONE GLOBAL SERVICE PROVIDER LTD,ONEGLOBAL,,Textiles - Processing,https://halalstock.in/is-one-global-service-provider-ltd-halal-and-shariah-compliant/
OneClick Logistics India Ltd,,OLIL,Logistics Solution Provider,https://halalstock.in/is-oneclick-logistics-india-ltd-halal-and-shariah-compliant/
Onesource Industries And Ventures Ltd,OIVL,,Consulting Services,https://halalstock.in/is-onesource-industries-and-ventures-ltd-halal-and-shariah-compliant/
Onesource Specialty Pharma Limited,ONESOURCE,ONESOURCE,Pharmaceuticals,https://halalstock.in/is-onesource-specialty-pharma-limited-halal-and-shariah-compliant/
ONWARD TECHNOLOGIES LTD.,ONWARDTEC,ONWARDTEC,Computers - Software - Medium / Small,https://halalstock.in/is-onward-technologies-ltd-halal-and-shariah-compliant/
Onyx Biotec Limited,,ONYX,Pharmaceuticals,https://halalstock.in/is-onyx-biotec-limited-halal-and-shariah-compliant/
OPTIEMUS INFRACOM LTD,OPTIEMUS,OPTIEMUS,Trading,https://halalstock.in/is-optiemus-infracom-ltd-halal-and-shariah-compliant/
Optivalue Tek Consulting Ltd,,OPTIVALUE,IT Enabled Services,https://halalstock.in/is-optivalue-tek-consulting-ltd-halal-and-shariah-compliant/
ORACLE FINANCIAL SERVICES SOFTWARE LTD.,OFSS,OFSS,Computers - Software - Medium / Small,https://halalstock.in/is-oracle-financial-services-software-ltd-halal-and-shariah-compliant/
ORBIT EXPORTS LTD.,ORBTEXP,ORBTEXP,Textiles - Processing,https://halalstock.in/is-orbit-exports-ltd-halal-and-shariah-compliant/
Organic Recycling Systems Ltd,ORGANICREC,,Waste Management,https://halalstock.in/is-organic-recycling-systems-ltd-halal-and-shariah-compliant/
Oriana Power Ltd,,ORIANA,Other Electrical Equipment,https://halalstock.in/is-oriana-power-ltd-halal-and-shariah-compliant/
ORIENT BELL LIMITED,ORIENTBELL,ORIENTBELL,Ceramics - Tiles / Sanitaryware,https://halalstock.in/is-orient-bell-limited-halal-and-shariah-compliant/
Orient Ceratech,ORIENTCER,ORIENTCER,Abrasives And Grinding Wheels,https://halalstock.in/is-orient-ceratech-halal-and-shariah-compliant/
ORIENT ELECTRIC LTD,ORIENTELEC,ORIENTELEC,Domestic Appliances,https://halalstock.in/is-orient-electric-ltd-halal-and-shariah-compliant/
ORIENT PAPER &amp; INDUSTRIES LTD.,ORIENTPPR,ORIENTPPR,Paper,https://halalstock.in/is-orient-paper-industries-ltd-halal-and-shariah-compliant/
